mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.26803970336914,0.6585867632784922,0.03914284706115723,0.004855403723357667,balanced_subsample,,2,100,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8697321765531916,0.8348429697131875,0.8494197274086824,0.8865630619493454,0.8589144560320596,0.8598944783312934,0.01758552014095085,48
23.815903425216675,1.069878524284908,0.06397943496704102,0.0065451659301794095,balanced_subsample,,2,200,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8991915104016641,0.8348783048649867,0.8653207373139825,0.8896368509000215,0.8710201401690876,0.8720095087299484,0.022244231704096246,15
34.959141206741336,0.7188629935419638,0.09586858749389648,0.0026405093986366208,balanced_subsample,,2,300,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8941969704134549,0.8542986305966723,0.8670646472942317,0.8895588094554503,0.8903210817193316,0.8790880278958282,0.015640810773219122,2
12.058276176452637,0.4742811992414854,0.04388728141784668,0.014457514099707282,balanced_subsample,,5,100,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8733813700918964,0.8346970659201455,0.8497717969697423,0.8690290981956298,0.8727717996289425,0.8599302261612713,0.015287477318768212,47
23.311054754257203,0.521112601029172,0.06328854560852051,0.00728581614944646,balanced_subsample,,5,200,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.876694263916808,0.8538941350198416,0.8495802235420848,0.8842130424565139,0.8675927788468201,0.8663948887564136,0.01314534503842344,31
33.56635460853577,0.17939353427725027,0.08801822662353516,0.006637940702187358,balanced_subsample,,5,300,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.8768374624624625,0.8519275345143423,0.8455919718487283,0.8758609785170806,0.8779444767387229,0.8656324848162672,0.013937048290927723,34
10.280372428894044,0.3970889158635228,0.032236480712890626,0.0032823966818666134,balanced_subsample,10,2,100,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.878555382491757,0.8313553113553113,0.8607526923710829,0.8689317955263958,0.8656057765093518,0.8610401916507797,0.015944771312367156,44
20.82696137428284,1.1175082827105938,0.06190724372863769,0.0029313559448781645,balanced_subsample,10,2,200,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8806105499438833,0.8400028773270815,0.8519292350568463,0.881195603125231,0.8743692210554235,0.8656214973016931,0.016658564625860874,35
29.890013217926025,0.6056444576014053,0.08557939529418945,0.004773044925833663,balanced_subsample,10,2,300,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.871766273197633,0.8400574712643678,0.8566416464765081,0.8774818583907398,0.8779658138653623,0.8647826126389223,0.01457015509931473,36
10.436384773254394,0.41469956639796934,0.030272865295410158,0.0028265669757982256,balanced_subsample,10,5,100,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8680172121275144,0.8433826485853104,0.8603983667230938,0.8638859870078219,0.8570774085542497,0.858552324599598,0.00841111609528731,50
